"name","year","selling_price","km_driven","fuel","seller_type","transmission","owner"
"Maruti 800 AC",2007.0,60000.0,70000.0,"Petrol","Individual","Manual","First Owner"
"Maruti Wagon R LXI Minor",2007.0,135000.0,50000.0,"Petrol","Individual","Manual","First Owner"
"Hyundai Verna 1.6 SX",2012.0,600000.0,100000.0,"Diesel","Individual","Manual","First Owner"
"Datsun RediGO T Option",2017.0,250000.0,46000.0,"Petrol","Individual","Manual","First Owner"
"Honda Amaze VX i-DTEC",2014.0,450000.0,141000.0,"Diesel","Individual","Manual","Second Owner"
"Maruti Alto LX BSIII",2007.0,140000.0,125000.0,"Petrol","Individual","Manual","First Owner"
"Hyundai Xcent 1.2 Kappa S",2016.0,550000.0,25000.0,"Petrol","Individual","Manual","First Owner"
"Tata Indigo Grand Petrol",2014.0,240000.0,60000.0,"Petrol","Individual","Manual","Second Owner"
"Hyundai Creta 1.6 VTVT S",2015.0,850000.0,25000.0,"Petrol","Individual","Manual","First Owner"
"Maruti Celerio Green VXI",2017.0,365000.0,78000.0,"CNG","Individual","Manual","First Owner"
"Chevrolet Sail 1.2 Base",2015.0,260000.0,35000.0,"Petrol","Individual","Manual","First Owner"
"Tata Indigo Grand Petrol",2014.0,250000.0,100000.0,"Petrol","Individual","Manual","First Owner"
"Toyota Corolla Altis 1.8 VL CVT",2018.0,1650000.0,25000.0,"Petrol","Dealer","Automatic","First Owner"
"Maruti 800 AC",2007.0,60000.0,70000.0,"Petrol","Individual","Manual","First Owner"
"Maruti Wagon R LXI Minor",2007.0,135000.0,50000.0,"Petrol","Individual","Manual","First Owner"
"Hyundai Verna 1.6 SX",2012.0,600000.0,100000.0,"Diesel","Individual","Manual","First Owner"
"Datsun RediGO T Option",2017.0,250000.0,46000.0,"Petrol","Individual","Manual","First Owner"
"Honda Amaze VX i-DTEC",2014.0,450000.0,141000.0,"Diesel","Individual","Manual","Second Owner"
"Maruti Alto LX BSIII",2007.0,140000.0,125000.0,"Petrol","Individual","Manual","First Owner"
"Hyundai Xcent 1.2 Kappa S",2016.0,550000.0,25000.0,"Petrol","Individual","Manual","First Owner"
"Tata Indigo Grand Petrol",2014.0,240000.0,60000.0,"Petrol","Individual","Manual","Second Owner"
"Hyundai Creta 1.6 VTVT S",2015.0,850000.0,25000.0,"Petrol","Individual","Manual","First Owner"
